job_title,company,location,experience,posted_time,job_url,city,page_no
Data Analyst,Nisc Export Services,Hyderabad,2-5 Yrs,1 week ago,https://www.naukri.com/job-listings-data-analyst-nisc-exports-services-p-ltd-hyderabad-2-to-5-years-210126500561,Hyderabad,2
Data Verification Analyst,Foundation Ai,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",0-5 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-verification-analyst-foundation-ai-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-5-years-101224501433,Hyderabad,2
Azure Data Analyst,Tata Consultancy Services,"Hyderabad, Indore, Bengaluru",5-10 Yrs,1 week ago,https://www.naukri.com/job-listings-azure-data-analyst-tata-consultancy-services-indore-hyderabad-bengaluru-5-to-10-years-220126020240,Hyderabad,2
Data Analyst,Persistent,Hyderabad,5-10 Yrs,5 days ago,https://www.naukri.com/job-listings-data-analyst-persistent-hyderabad-5-to-10-years-290126025602,Hyderabad,2
Data Analyst,Saven Technologies,Hyderabad,3-5 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-saven-technologies-limited-hyderabad-3-to-5-years-270824501177,Hyderabad,2
Data Analyst,VMAX India,Hyderabad,5-7 Yrs,6 days ago,https://www.naukri.com/job-listings-data-analyst-vmax-india-hyderabad-5-to-7-years-280126014573,Hyderabad,2
BY MDM Data Analyst,SRSInfoway,"Hyderabad, Chennai, Bengaluru",3-7 Yrs,6 days ago,https://www.naukri.com/job-listings-by-mdm-data-analyst-srs-infoway-hyderabad-chennai-bengaluru-3-to-7-years-280126918019,Hyderabad,2
Data Analyst,Victrix Systems And Labs,Hyderabad,8-10 Yrs,2 weeks ago,https://www.naukri.com/job-listings-data-analyst-victrix-systems-and-labs-hyderabad-8-to-10-years-150126909395,Hyderabad,2
Data Analyst with Hadoop,Asky Services Llp,"Hyderabad, Pune, Gurugram, Bengaluru",5-7 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-with-hadoop-asky-services-hyderabad-pune-gurugram-bengaluru-5-to-7-years-270825502639,Hyderabad,2
GTM Data Analyst,Han Digital Solution,Hyderabad,4-9 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-gtm-data-analyst-han-digital-solution-p-hyderabad-4-to-9-years-261225501122,Hyderabad,2
Data Loss Prevention Analyst -Symantec DLP-Hyderabad/Mumbai-3-6 years,Crescendo Global,"Hyderabad, Mumbai (All Areas)",3-7 Yrs,1 day ago,https://www.naukri.com/job-listings-data-loss-prevention-analyst-symantec-dlp-hyderabad-mumbai-3-6-years-crescendo-global-leadership-hiring-india-hyderabad-mumbai-all-areas-3-to-7-years-030226012237,Hyderabad,2
Data Analyst,Digital Glyde,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",0-3 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-digital-glyde-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-3-years-170524500934,Hyderabad,3
Data Analyst,Regalix,"Hyderabad, Bengaluru",1-3 Yrs,3 weeks ago,https://www.naukri.com/job-listings-data-analyst-regalix-hyderabad-bengaluru-1-to-3-years-090126021433,Hyderabad,3
Winfrox Hiring Remote Data Analysts,Digital Solution Tech,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",0-4 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-winfrox-hiring-remote-data-analysts-digital-solution-tech-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-4-years-300725501563,Hyderabad,3
Data Analyst,Epsoft Technologies,Hyderabad,5-10 Yrs,1 week ago,https://www.naukri.com/job-listings-data-analyst-epsoft-technologies-hyderabad-5-to-10-years-210126026730,Hyderabad,3
Data Analyst,Recruitrix Technologies LLP,Hyderabad,0-2 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-recruitrix-technologies-llp-hyderabad-0-to-2-years-091122500313,Hyderabad,3
Data Analyst,Optum,Hybrid - Hyderabad,4-7 Yrs,2 weeks ago,https://www.naukri.com/job-listings-data-analyst-optum-hyderabad-4-to-7-years-090126023081,Hyderabad,3
Online Data Analyst,Carnivore Style,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",1-6 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-online-data-analyst-carnivore-style-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-6-years-110725509015,Hyderabad,3
Job Title: EY - GDS Consulting - AI And DATA - Data Analyst - Manager,EY,Hyderabad,8-13 Yrs,3 weeks ago,https://www.naukri.com/job-listings-title-ey-gds-consulting-ai-and-data-data-analyst-manager-ey-hyderabad-8-to-13-years-130126010448,Hyderabad,3
Data Analyst,Hitachi Digital Services,Hyderabad,2-5 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-hitachi-digital-services-hyderabad-2-to-5-years-190525504787,Hyderabad,3
Data Analyst,Goodwin Financial Holdings,Hyderabad,2-5 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-goodwin-financial-holdings-p-ltd-hyderabad-2-to-5-years-270525503891,Hyderabad,3
"Data Analyst , Sensory and Consumer Experience",Pepsico,Hyderabad,5-6 Yrs,2 weeks ago,https://www.naukri.com/job-listings-data-analyst-sensory-and-consumer-experience-pepsico-global-business-services-india-llp-hyderabad-5-to-6-years-140126928897,Hyderabad,3
Data Analysts,Icare Academy Hyderabad,Hyderabad,1-4 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analysts-icare-academy-hyderabad-1-to-4-years-170225505457,Hyderabad,3
"Data Analyst , Sensory & Consumer Experience",Pepsico,Hyderabad,2-4 Yrs,2 weeks ago,https://www.naukri.com/job-listings-data-analyst-sensory-consumer-experience-pepsico-global-business-services-india-llp-hyderabad-2-to-4-years-140126917582,Hyderabad,3
"Data Analyst , Sensory and Consumer Experience",Pepsico,Hyderabad,5-6 Yrs,3 weeks ago,https://www.naukri.com/job-listings-data-analyst-sensory-and-consumer-experience-pepsico-india-hyderabad-5-to-6-years-070126502979,Hyderabad,3
Data Analyst IV,Info Services,Hybrid - Hyderabad,10-20 Yrs,3 weeks ago,https://www.naukri.com/job-listings-data-analyst-iv-info-services-hyderabad-10-to-20-years-140126004848,Hyderabad,3
Data Analyst,Big 4 company,"Hyderabad, Chennai, Bengaluru, Mumbai (All Areas)",4-9 Yrs,1 week ago,https://www.naukri.com/job-listings-data-analyst-talentico-consultancy-services-hyderabad-chennai-bengaluru-mumbai-all-areas-4-to-9-years-230126028638,Hyderabad,3
Data Analyst,Tata Consultancy Services,"Hyderabad, Pune, Bengaluru",4-9 Yrs,3 weeks ago,https://www.naukri.com/job-listings-data-analyst-tata-consultancy-services-hyderabad-pune-bengaluru-4-to-9-years-201225005878,Hyderabad,3
Data Analyst,Vipany Management Consulting,Hybrid - Hyderabad,5-8 Yrs,3 weeks ago,https://www.naukri.com/job-listings-data-analyst-vipany-global-solutions-hyderabad-5-to-8-years-130126018350,Hyderabad,3
Data Analyst,Mphasis,"Hyderabad, Mumbai (All Areas)",5-10 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-absika-solutions-hyderabad-mumbai-all-areas-5-to-10-years-050126017259,Hyderabad,3
Data Analyst,Regalix,"Hyderabad, Bengaluru",1-3 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-marketstar-hyderabad-bengaluru-1-to-3-years-301225504267,Hyderabad,4
Join WaferWire as a Data Analyst,Digital Solution Tech,Hyderabad,1-4 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-join-waferwire-as-a-data-analyst-digital-solution-tech-hyderabad-1-to-4-years-171025500025,Hyderabad,4
Data Analyst,Awesome Analytics,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",1-4 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-awesome-analytics-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-4-years-290425501607,Hyderabad,4
Data Analyst,Indium Software,"Hybrid - Hyderabad, Bengaluru",2-4 Yrs,3 weeks ago,https://www.naukri.com/job-listings-data-analyst-indium-software-hyderabad-bengaluru-2-to-4-years-080126014386,Hyderabad,4
Data Analyst - KPO,Virtusa,Hyderabad,2-6 Yrs,2 weeks ago,https://www.naukri.com/job-listings-data-analyst-kpo-virtusa-consulting-services-pvt-ltd-hyderabad-2-to-6-years-160126914879,Hyderabad,4
Data Analyst,S&P Global Market Intelligence,Hyderabad,2-5 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-s-p-capital-iq-india-pvt-ltd-hyderabad-2-to-5-years-060126914936,Hyderabad,4
Data Analyst L4,Wipro,Hyderabad,5-8 Yrs,3 weeks ago,https://www.naukri.com/job-listings-data-analyst-l4-wipro-limited-hyderabad-5-to-8-years-090126927963,Hyderabad,4
Programmer / Data Analyst,Indo Fuji Information Technologies,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",3-6 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-programmer-data-analyst-indo-fuji-information-technologies-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-6-years-160724500800,Hyderabad,4
Data Analyst,Safran Aircraft Engines,"Hyderabad, Bengaluru, Delhi / NCR",3-8 Yrs,3 weeks ago,https://www.naukri.com/job-listings-data-analyst-safran-aircraft-engines-hyderabad-bengaluru-delhi-ncr-3-to-8-years-090126035314,Hyderabad,4
Data Analyst,Encore Software Services,Hyderabad,4-8 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-encore-software-services-hyderabad-4-to-8-years-100725503562,Hyderabad,4
Data Analyst,Launch It Consulting,Hyderabad,15-20 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-launch-it-consulting-hyderabad-15-to-20-years-070126012291,Hyderabad,4
Data Analyst,Gyantu,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",2-7 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-gyantu-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-2-to-7-years-150424501151,Hyderabad,4
Data Analyst,Exzeo Software,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",4-5 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-exzeo-software-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-5-years-260825501703,Hyderabad,4
Data Analyst,Amnet Digital,Hyderabad,5-10 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-amnet-digital-hyderabad-5-to-10-years-110724501460,Hyderabad,4
Data Analyst,Piwheel,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",5-10 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-piwheel-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-10-years-030625501730,Hyderabad,4
Data Analyst,Growtharc Technologies,"Hyderabad, Bengaluru",8-13 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-growtharc-technologies-private-limited-hyderabad-bengaluru-8-to-13-years-140625500050,Hyderabad,4
Commercial Data Intelligence Analyst,Aveva,"Hyderabad, Bengaluru",4-7 Yrs,3 weeks ago,https://www.naukri.com/job-listings-commercial-data-intelligence-analyst-aveva-solutions-india-llp-hyderabad-bengaluru-4-to-7-years-130126922271,Hyderabad,4
Payer Data Analyst,Star4rall It Solutions,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",3-7 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-payer-data-analyst-star4rall-it-solutions-private-limited-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-7-years-170323502157,Hyderabad,4
Data Analyst,Tech Stalwart Solution,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",6-9 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-tech-stalwart-solution-private-limited-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-6-to-9-years-030125501914,Hyderabad,4
Data Analyst,Diverse Lynx,"Hyderabad, Kolkata, Chennai, Bengaluru",8-15 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-diverse-lynx-kolkata-hyderabad-chennai-bengaluru-8-to-15-years-040825506151,Hyderabad,4
Data Analyst,360DigiTMG,"Hyderabad, Vijayawada",,Starts in 1-3 months,https://www.naukri.com/job-listings-data-analyst-360digitmg-vijayawada-hyderabad-1-to-2-years-180825504268,Hyderabad,5
Exciting Data Analysts,Digital Solution Tech,"Hyderabad, Kolkata, Mumbai, New Delhi, Pune, Chennai, Bengaluru",1-3 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-exciting-data-analysts-digital-solution-tech-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-3-years-010825502005,Hyderabad,5
Data Analyst,Primera Medical Technologies,Hyderabad,1-6 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-primera-medical-technologies-hyderabad-1-to-6-years-221225501933,Hyderabad,5
Data Analyst,Creoquad Hyderabad,Hyderabad,1-3 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-creoquad-hyderabad-1-to-3-years-220925504876,Hyderabad,5
Data Analyst,Mid Source Tech,Hyderabad,2-5 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-mid-source-tech-hyderabad-2-to-5-years-240924502610,Hyderabad,5
Data Analyst,IntouchCX,Hyderabad,2-3 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-24-7-intouch-hyderabad-2-to-3-years-221025507622,Hyderabad,5
Data Analyst,IntouchCX,Hyderabad,2-3 Yrs,2 weeks ago,https://www.naukri.com/job-listings-data-analyst-intouchcx-hyderabad-2-to-3-years-190126922836,Hyderabad,5
Data Analyst - Media,Databeat,Hyderabad,2-4 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-media-databeat-hyderabad-2-to-4-years-261125500537,Hyderabad,5
Sensing Data Analyst,Geoconsultants India Services,Hyderabad,2-4 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-sensing-data-analyst-geoconsultants-india-services-hyderabad-2-to-4-years-051225502735,Hyderabad,5
Data Analyst,Indium Software,Hyderabad,3-4 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-indium-software-hyderabad-3-to-4-years-221225502937,Hyderabad,5
AI Engineer / Data Analyst,Meru Software,Hyderabad,2-5 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-ai-engineer-data-analyst-meru-software-pvt-ltd-hyderabad-2-to-5-years-090625504929,Hyderabad,5
DATA ANALYST,Kilonewtons,Hyderabad,1-3 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-kilonewtons-hyderabad-1-to-3-years-280825502494,Hyderabad,5
Data Analyst - People Success,Regalix,Hyderabad,2-6 Yrs,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-people-success-marketstar-hyderabad-2-to-6-years-221225501530,Hyderabad,5
